id_orden;linea_orden;id_producto;id_vendedor;cantidad;fecha_orden;id_cliente
1;1;9117;96;1;27/01/2004;7888
1;2;3353;79;3;27/01/2004;7888
1;3;2778;57;2;27/01/2004;7888
1;4;4774;80;2;27/01/2004;7888
1;5;3648;67;2;27/01/2004;7888
1;6;9523;88;3;27/01/2004;7888
1;7;6358;18;3;27/01/2004;7888
1;8;1417;68;2;27/01/2004;7888
2;1;1567;68;2;01/01/2004;4858
2;2;1298;46;1;01/01/2004;4858
2;3;9990;6;1;01/01/2004;4858
2;4;5130;31;3;01/01/2004;4858
2;5;6127;77;1;01/01/2004;4858
2;6;6376;3;2;01/01/2004;4858
2;7;4936;52;3;01/01/2004;4858
2;8;2926;71;3;01/01/2004;4858
3;1;2834;47;2;17/01/2004;15399
3;2;8078;22;3;17/01/2004;15399
3;3;698;28;3;17/01/2004;15399
3;4;5260;68;1;17/01/2004;15399
3;5;1923;42;2;17/01/2004;15399
3;6;8903;16;2;17/01/2004;15399
3;7;642;50;1;17/01/2004;15399
3;8;4578;98;1;17/01/2004;15399
3;9;2383;6;3;17/01/2004;15399
4;1;3753;94;3;28/01/2004;17019
4;2;5126;61;3;28/01/2004;17019
4;3;5317;92;1;28/01/2004;17019
4;4;4377;81;3;28/01/2004;17019
4;5;9309;85;3;28/01/2004;17019
5;1;6879;32;1;09/01/2004;14771
5;2;4402;84;3;09/01/2004;14771
5;3;8293;17;1;09/01/2004;14771
5;4;2290;96;3;09/01/2004;14771
6;1;6574;59;3;11/01/2004;13734
6;2;4396;7;3;11/01/2004;13734
6;3;3985;20;3;11/01/2004;13734
6;4;6843;20;3;11/01/2004;13734
6;5;4825;36;1;11/01/2004;13734
6;6;9503;62;3;11/01/2004;13734
7;1;6196;75;1;05/01/2004;17622
7;2;7861;35;1;05/01/2004;17622
7;3;4471;22;1;05/01/2004;17622
7;4;1876;50;1;05/01/2004;17622
8;1;1032;38;1;18/01/2004;8331
8;2;4955;36;3;18/01/2004;8331
8;3;9848;59;3;18/01/2004;8331
8;4;6845;4;2;18/01/2004;8331
8;5;7498;11;2;18/01/2004;8331
8;6;2942;20;1;18/01/2004;8331
8;7;5845;64;1;18/01/2004;8331
8;8;1524;56;3;18/01/2004;8331
8;9;1255;47;3;18/01/2004;8331
9;1;526;13;2;06/01/2004;14902
9;2;1763;77;1;06/01/2004;14902
9;3;7978;47;3;06/01/2004;14902
9;4;6566;96;3;06/01/2004;14902
9;5;6395;18;3;06/01/2004;14902
9;6;935;50;1;06/01/2004;14902
9;7;5203;11;1;06/01/2004;14902
9;8;700;47;1;06/01/2004;14902
9;9;4615;38;3;06/01/2004;14902
10;1;10000;3;1;18/01/2004;15112
10;2;8900;76;1;18/01/2004;15112
11;1;42;62;3;31/01/2004;1082
12;1;9131;60;3;19/01/2004;3608
12;2;3591;80;2;19/01/2004;3608
12;3;5795;32;2;19/01/2004;3608
12;4;6874;44;1;19/01/2004;3608
13;1;5770;95;3;17/01/2004;15146
13;2;7479;26;2;17/01/2004;15146
13;3;355;79;3;17/01/2004;15146
13;4;8333;25;3;17/01/2004;15146
13;5;8733;31;3;17/01/2004;15146
13;6;9795;40;3;17/01/2004;15146
13;7;9034;93;3;17/01/2004;15146
13;8;6669;48;2;17/01/2004;15146
13;9;1640;97;3;17/01/2004;15146
14;1;6295;96;1;28/01/2004;1540
14;2;7007;13;1;28/01/2004;1540
14;3;3288;62;1;28/01/2004;1540
15;1;5107;33;3;03/01/2004;12662
15;2;2801;70;2;03/01/2004;12662
15;3;7193;77;1;03/01/2004;12662
15;4;4715;48;2;03/01/2004;12662
15;5;9444;24;2;03/01/2004;12662
15;6;3364;11;3;03/01/2004;12662
16;1;8333;20;1;14/01/2004;65
16;2;6755;53;2;14/01/2004;65
16;3;4820;90;1;14/01/2004;65
16;4;7121;40;1;14/01/2004;65
16;5;6219;32;1;14/01/2004;65
16;6;4140;9;3;14/01/2004;65
17;1;6092;13;2;21/01/2004;12753
17;2;7308;30;1;21/01/2004;12753
18;1;6532;21;1;23/01/2004;4045
18;2;5325;46;1;23/01/2004;4045
18;3;2605;24;3;23/01/2004;4045
18;4;6862;27;1;23/01/2004;4045
18;5;1113;48;2;23/01/2004;4045
18;6;5767;65;2;23/01/2004;4045
18;7;6666;70;1;23/01/2004;4045
19;1;9844;26;1;25/01/2004;5768
19;2;8274;64;1;25/01/2004;5768
20;1;7649;38;3;06/01/2004;8730
20;2;1212;52;3;06/01/2004;8730
20;3;3839;87;3;06/01/2004;8730
20;4;9431;37;3;06/01/2004;8730
20;5;8620;52;1;06/01/2004;8730
20;6;7937;92;2;06/01/2004;8730
20;7;2973;49;3;06/01/2004;8730
20;8;9097;35;3;06/01/2004;8730
20;9;4982;74;2;06/01/2004;8730
21;1;4637;79;3;06/01/2004;5479
21;2;4960;48;1;06/01/2004;5479
21;3;1805;64;3;06/01/2004;5479
21;4;7276;83;1;06/01/2004;5479
21;5;6032;25;2;06/01/2004;5479
22;1;4986;37;1;26/01/2004;14486
